Rosalind_0057 Rosalind_0687
Rosalind_7611 Rosalind_8039
Rosalind_7639 Rosalind_7069
Rosalind_7729 Rosalind_1704
Rosalind_7729 Rosalind_6528
Rosalind_7776 Rosalind_2949
Rosalind_7898 Rosalind_8039
Rosalind_7933 Rosalind_1251
Rosalind_7933 Rosalind_5932
Rosalind_7933 Rosalind_7776
Rosalind_7946 Rosalind_6328
Rosalind_7946 Rosalind_7573
Rosalind_7946 Rosalind_8585
Rosalind_8005 Rosalind_8045
Rosalind_8023 Rosalind_2473
Rosalind_8023 Rosalind_5348
Rosalind_8023 Rosalind_6466
Rosalind_8023 Rosalind_8554
Rosalind_8039 Rosalind_5352
Rosalind_8365 Rosalind_0670
Rosalind_8365 Rosalind_7701
Rosalind_8365 Rosalind_9362
Rosalind_8502 Rosalind_6353
Rosalind_8554 Rosalind_6353
Rosalind_8585 Rosalind_5984
Rosalind_8662 Rosalind_1704
Rosalind_8662 Rosalind_6528
Rosalind_9091 Rosalind_8039
Rosalind_9187 Rosalind_1563
Rosalind_9187 Rosalind_1817
Rosalind_9187 Rosalind_3004
Rosalind_9187 Rosalind_5460
Rosalind_9187 Rosalind_9461
Rosalind_9215 Rosalind_2011
Rosalind_9215 Rosalind_7146
Rosalind_9240 Rosalind_2134
Rosalind_9240 Rosalind_9215
Rosalind_9276 Rosalind_9187
Rosalind_9303 Rosalind_5898
Rosalind_9303 Rosalind_8005
Rosalind_9362 Rosalind_0670
Rosalind_9362 Rosalind_7701
Rosalind_9432 Rosalind_2566
Rosalind_9432 Rosalind_3135
Rosalind_9432 Rosalind_6994
Rosalind_9461 Rosalind_0994
Rosalind_9624 Rosalind_7611
Rosalind_9624 Rosalind_7946
